timestamp,temperatura,umidade,soil_moisture,aquecedor,ventilador,pump,alarm
2025-10-26T13:04:27.013115,25.07,59.93,49.99,0,0,0,
2025-10-26T13:04:28.020506,25.02,59.82,49.98,0,0,0,
2025-10-26T13:04:29.023589,24.93,59.72,49.97,0,0,0,
2025-10-26T13:04:30.025470,24.9,59.7,49.96,0,0,0,
2025-10-26T13:04:31.028064,24.99,59.77,49.95,0,0,0,
2025-10-26T13:04:32.029881,25.02,59.71,49.94,0,0,0,
2025-10-26T13:04:33.031167,25.08,59.55,49.93,0,0,0,
2025-10-26T13:04:34.032864,25.14,59.43,49.92,0,0,0,
2025-10-26T13:04:35.035077,25.09,59.25,49.91,0,0,0,
2025-10-26T13:04:36.039030,25.17,59.09,49.9,0,0,0,
2025-10-26T13:04:37.044017,25.09,59.26,49.89,0,0,0,
2025-10-26T13:04:38.047529,25.04,59.26,49.88,0,0,0,
2025-10-26T13:04:39.049460,24.97,59.11,49.87,0,0,0,
2025-10-26T13:04:40.051208,25.07,59.08,49.86,0,0,0,
2025-10-26T13:04:41.052721,25.1,59.05,49.85,0,0,0,
2025-10-26T13:04:42.054172,25.09,59.21,49.84,0,0,0,
2025-10-26T13:04:43.056173,25.14,59.24,49.83,0,0,0,
2025-10-26T13:04:44.058466,25.15,59.11,49.82,0,0,0,
2025-10-26T13:04:45.061524,25.22,59.28,49.81,0,0,0,
2025-10-26T13:04:46.063620,25.19,59.42,49.8,0,0,0,
2025-10-26T13:04:47.065768,25.17,59.42,49.79,0,0,0,
2025-10-26T13:04:48.067876,25.1,59.62,49.78,0,0,0,
2025-10-26T13:04:49.070853,25.16,59.7,49.77,0,0,0,
2025-10-26T13:04:50.072412,25.11,59.51,49.76,0,0,0,
2025-10-26T13:04:51.073711,25.07,59.65,49.75,0,0,0,
2025-10-26T13:04:52.075401,25.1,59.66,49.74,0,0,0,
2025-10-26T13:04:53.076689,25.08,59.7,49.73,0,0,0,
2025-10-26T13:04:54.077921,25.04,59.57,49.72,0,0,0,
2025-10-26T13:04:55.088889,25.01,59.56,49.71,0,0,0,
2025-10-26T13:04:56.092983,25.02,59.67,49.7,0,0,0,
2025-10-26T13:04:57.096004,25.08,59.61,49.69,0,0,0,
2025-10-26T13:04:58.103691,25.1,59.75,49.68,0,0,0,
2025-10-26T13:04:59.105032,25.06,59.59,49.67,0,0,0,
2025-10-26T13:05:00.106597,25.09,59.58,49.66,0,0,0,
2025-10-26T13:05:01.108176,25.02,59.66,49.65,0,0,0,
2025-10-26T13:05:02.110615,25.04,59.5,49.64,0,0,0,
2025-10-26T13:05:03.112142,25.06,59.59,49.63,0,0,0,
2025-10-26T13:05:04.114689,25.02,59.76,49.62,0,0,0,
2025-10-26T13:05:05.124998,24.98,59.81,49.61,0,0,0,
2025-10-26T13:05:06.128177,24.88,59.76,49.6,0,0,0,
2025-10-26T13:05:07.130456,24.83,59.74,49.59,0,0,0,
2025-10-26T13:05:08.132645,24.83,59.72,49.58,0,0,0,
2025-10-26T13:05:09.135072,24.88,59.79,49.57,0,0,0,
2025-10-26T13:05:10.154573,24.96,59.91,49.56,0,0,0,
2025-10-26T13:05:11.156859,24.99,60.06,49.55,0,0,0,
2025-10-26T13:05:12.164139,24.98,60.19,49.54,0,0,0,
2025-10-26T13:05:13.168289,25.03,60.11,49.53,0,0,0,
2025-10-26T13:05:14.171586,25.03,60.26,49.52,0,0,0,
2025-10-26T13:05:15.173734,24.93,60.14,49.51,0,0,0,
2025-10-26T13:05:16.176561,24.98,60.15,49.5,0,0,0,
2025-10-26T13:05:17.180231,25.04,60.13,49.49,0,0,0,
2025-10-26T13:05:18.183990,24.96,60.3,49.48,0,0,0,
2025-10-26T13:05:19.185215,24.98,60.24,49.47,0,0,0,
2025-10-26T13:05:20.186212,25.0,60.32,49.46,0,0,0,
2025-10-26T13:05:21.188650,25.09,60.31,49.45,0,0,0,
2025-10-26T13:05:22.190537,25.01,60.21,49.44,0,0,0,
2025-10-26T13:05:23.191741,25.11,60.23,49.43,0,0,0,
2025-10-26T13:05:24.193637,25.1,60.27,49.42,0,0,0,
2025-10-26T13:05:25.195047,25.11,60.28,49.41,0,0,0,
2025-10-26T13:05:26.196730,25.16,60.29,49.4,0,0,0,
2025-10-26T13:05:27.198304,25.1,60.12,49.39,0,0,0,
2025-10-26T13:05:28.200369,25.04,60.24,49.38,0,0,0,
2025-10-26T13:05:29.202367,25.05,60.34,49.37,0,0,0,
2025-10-26T13:05:30.204263,25.0,60.48,49.36,0,0,0,
2025-10-26T13:05:31.207669,25.07,60.44,49.35,0,0,0,
2025-10-26T13:05:32.066151,24.98,59.93,49.99,0,0,0,
2025-10-26T13:05:32.209137,24.99,60.38,49.34,0,0,0,
2025-10-26T13:05:32.506090,24.93,60.01,49.99,0,0,0,
2025-10-26T13:05:33.067653,25.01,59.94,49.98,0,0,0,
2025-10-26T13:05:33.210523,24.98,60.26,49.33,0,0,0,
2025-10-26T13:05:33.507573,25.02,60.16,49.98,0,0,0,
